"Name","optimizer","MAE","RMSE","R_squared","train_loss","val_loss","activation_function","batch_size","epochs","hidden_layers","learning_rate","method","metric.goal","metric.name","parameters.activation_functions","parameters.batch_sizes","parameters.epochss","parameters.hidden_layerss","parameters.learning_rates","parameters.optimizers","parameters.activation_function.values","parameters.batch_size.values","parameters.epochs.values","parameters.hidden_layers.values","parameters.learning_rate.values","parameters.optimizer.values"
"leafy-sweep-16","mini-batch-gd","2.145001934098793","3.0290631783417465","0.9099266435106806","5.181966925108678","9.175223738385803","tanh","128","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"grateful-sweep-15","mini-batch-gd","2.1906760843480413","3.012708019932914","0.9108967037689023","12.56068100299633","9.076409613368098","tanh","128","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"fragrant-sweep-14","mini-batch-gd","2.1625979706764555","3.216634563757438","0.8984258651940239","2.2526516534109295","10.346737916759004","tanh","32","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"worldly-sweep-13","mini-batch-gd","2.2957867619431154","3.0687875823030972","0.9075486324842047","5.766141701979316","9.417457225297689","tanh","32","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"brisk-sweep-12","mini-batch-gd","2.9919566655175855","4.19731760132682","0.8270488921531229","24.132751874978712","17.617475046407936","linear","128","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"lyric-sweep-11","mini-batch-gd","2.9679610550873434","4.105936961609091","0.8344976221144274","23.764243435213373","16.858718332707696","linear","128","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"dry-sweep-10","mini-batch-gd","2.918658247494308","3.9820372343164667","0.8443352364004943","23.52452273409812","15.856620535482735","linear","32","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"hopeful-sweep-9","mini-batch-gd","2.9256467180490673","3.9765028993129454","0.8447676292846162","23.48322383273137","15.812575308244261","linear","32","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"cerulean-sweep-8","mini-batch-gd","2.2168569943298437","2.8509950710907153","0.9202055627537744","16.299965903550103","8.128172895383553","sigmoid","128","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"absurd-sweep-7","mini-batch-gd","3.5336819281545853","5.149792316541478","0.739649082136989","26.05869760211383","26.520360903509644","sigmoid","128","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"hardy-sweep-6","mini-batch-gd","2.1930809166901364","2.7694357667518483","0.9247056693785819","9.181725192665274","7.669774466164397","sigmoid","32","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"golden-sweep-5","mini-batch-gd","2.3157332946297284","2.9158982268659033","0.916531154456443","17.14125185068124","8.502462469439719","sigmoid","32","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"dainty-sweep-4","mini-batch-gd","1.7424430796410642","2.491287158770698","0.9390705493924936","6.11758701913381","6.206511707455778","relu","128","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"amber-sweep-3","mini-batch-gd","2.049711803195932","2.789963428306728","0.9235853366538059","11.713998860258858","7.783895931289031","relu","128","1500","[64,16]","0.001","","","","","","","","","","","","","","",""
"quiet-sweep-2","mini-batch-gd","2.2670202124131538","3.3155013742167925","0.8920859212068543","2.7531491533814196","10.992549362433438","relu","32","1500","[64,16]","0.005","","","","","","","","","","","","","","",""
"firm-sweep-1","mini-batch-gd","1.9259148520269793","2.6808429206706994","0.9294458735322946","6.3863392879542955","7.186918765310207","relu","32","1500","[64,16]","0.001","","","","","","","","","","","","","","",""